date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:42	40695/40695	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202018%2012:43:21%20GMT	http://portobsb.adminbsb-themes.com/bg-particles.html	C:/My%20Web%20Sites/particle/portobsb.adminbsb-themes.com/bg-particles.html	(from )
12:23:42	247/247	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Mar%202019%2012:23:42%20GMT	http://portobsb.adminbsb-themes.com/robots.txt		(from )
12:23:43	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-57bcd07292b3f%22	http://portobsb.adminbsb-themes.com/favicon.ico	C:/My%20Web%20Sites/particle/portobsb.adminbsb-themes.com/favicon.ico	(from http://portobsb.adminbsb-themes.com/bg-particles.html)
12:23:44	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-57bcd2aa7cd56-gzip%22	http://portobsb.adminbsb-themes.com/assets/lib/bootstrap/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/particle/portobsb.adminbsb-themes.com/assets/lib/bootstrap/dist/css/bootstrap.min.css	(from http://portobsb.adminbsb-themes.com/bg-particles.html)
12:23:44	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%22e283-57bcd0cefab4b-gzip%22	http://portobsb.adminbsb-themes.com/assets/lib/animate.css/animate.min.css	C:/My%20Web%20Sites/particle/portobsb.adminbsb-themes.com/assets/lib/animate.css/animate.min.css	(from http://portobsb.adminbsb-themes.com/bg-particles.html)
12:23:44	28115/28115	---M-Z	200	added ('OK')	text/css	etag:%226dd3-57bcd3509ea5b-gzip%22	http://portobsb.adminbsb-themes.com/assets/lib/line-awesome/dist/css/line-awesome.min.css	C:/My%20Web%20Sites/particle/portobsb.adminbsb-themes.com/assets/lib/line-awesome/dist/css/line-awesome.min.css	(from http://portobsb.adminbsb-themes.com/bg-particles.html)
12:23:44	1609/1609	---MCZ	200	added ('OK')	text/css	etag:W/%228bc-57bcd205bc87d-gzip%22	http://portobsb.adminbsb-themes.com/assets/lib/simplebar/dist/simplebar.css	C:/My%20Web%20Sites/particle/portobsb.adminbsb-themes.com/assets/lib/simplebar/dist/simplebar.css	(from http://portobsb.adminbsb-themes.com/bg-particles.html)
12:23:45	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-57bcd4dea223f-gzip%22	http://portobsb.adminbsb-themes.com/assets/lib/owl.carousel/dist/assets/owl.carousel.min.css	C:/My%20Web%20Sites/particle/portobsb.adminbsb-themes.com/assets/lib/owl.carousel/dist/assets/owl.carousel.min.css	(from http://portobsb.adminbsb-themes.com/bg-particles.html)
12:23:45	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-57bcd4df9a2f4-gzip%22	http://portobsb.adminbsb-themes.com/assets/lib/owl.carousel/dist/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/particle/portobsb.adminbsb-themes.com/assets/lib/owl.carousel/dist/assets/owl.theme.default.min.css	(from http://portobsb.adminbsb-themes.com/bg-particles.html)
12:23:45	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%221b27-57bcd1d0e2673-gzip%22	http://portobsb.adminbsb-themes.com/assets/lib/magnific-popup/dist/magnific-popup.css	C:/My%20Web%20Sites/particle/portobsb.adminbsb-themes.com/assets/lib/magnific-popup/dist/magnific-popup.css	(from http://portobsb.adminbsb-themes.com/bg-particles.html)
